Type of Incident,Year of Incident
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
ABANDONED PROPERTY (NO OFFENSE),2023
BURGLARY OF BUILDING - FORCED ENTRY,2022
PUBLIC INTOXICATION,2021
DEADLY CONDUCT DISCHARGE FIREARM,2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNLAWFUL CARRYING WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2015
POSS MARIJUANA <2OZ,2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
DWI,2020
OTHER OFFENSE - MISDEMEANOR,2022
CRIMINAL TRESPASS WARNING,2022
FOUND PROPERTY (NO OFFENSE),2022
POSS CONT SUB PEN GRP 1 <1G,2022
DWI W/OPEN CONTAINER,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
ASSAULT (AGG) -(SBI) - TRAFFIC - RECKLESS DRIVING,2022
PUBLIC INTOXICATION,2022
POSS MARIJUANA <2OZ,2022
DEADLY CONDUCT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2021
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),2023
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
ASSAULT -VERBAL THREAT,2021
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2018
CRIMINAL TRESPASS,2023
UNEXPLAINED DEATH (NO OFFENSE),2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
