Victim Type,Victim Gender,Victim Race,Weapon Used
Individual,Female,Hispanic or Latino,
Government,,,
Business,,,
Society/Public,,,
Society/Public,,,Handgun
Business,,,
Individual,Female,White,
Society/Public,,,Handgun
Individual,Male,Black,
Individual,Male,White,
,,,
Government,,,
Individual,Male,Black,
Individual,Female,Hispanic or Latino,
Government,,,
Society/Public,,,
Business,,,
Individual,Male,White,
Society/Public,,,
Government,,,
Individual,Male,Black,
,,,
Government,,,
Individual,Male,Hispanic or Latino,
Individual,Female,White,
Government,,,
Individual,Male,White,
Individual,Female,Black,
Government,,,
Society/Public,,,
Individual,Female,Hispanic or Latino,Handgun
Individual,Male,White,
Society/Public,,,
Business,,,
Society/Public,,,
Individual,Female,Black,Personal Weapons (Hands-Feet ETC)
,,,
Individual,Female,Hispanic or Latino,
Business,,,
Business,,,
Individual,Female,Hispanic or Latino,
Business,,,
,,,
Individual,Female,Black,
Individual,Female,Hispanic or Latino,Firearm (Type Not Stated)
Government,,,
Government,,,
Individual,Male,White,
Government,,,
Individual,Male,Black,
Individual,Male,White,
Society/Public,,,
Society/Public,,,
Business,,,
Individual,Male,Black,
Individual,Male,Hispanic or Latino,
Business,,,
Government,,,
Individual,Male,Black,
,,,
Government,,,
Government,,,
Individual,Male,White,
Society/Public,,,
Government,,,
Individual,Male,White,
Government,,,
Individual,Female,Middle Eastern,
Individual,Male,Hispanic or Latino,
Business,,,
Society/Public,,,
Individual,Male,Black,
Individual,Male,Black,
Government,,,
,,,
Society/Public,,,
Individual,Male,White,
Society/Public,,,
Individual,Male,Black,
Individual,Male,Black,
Individual,Female,Black,
Government,,,
Society/Public,,,
Society/Public,,,
Government,,,
Society/Public,,,
Individual,Male,Hispanic or Latino,
Government,,,
,Female,,
Government,,,
Government,,,
Individual,Male,Hispanic or Latino,Handgun
Society/Public,,,
Government,,,
,,,
Individual,Male,White,
Individual,Male,Hispanic or Latino,
Individual,Male,Black,
Individual,Male,White,
,,,
Individual,Male,White,
Society/Public,,,Handgun
Individual,Female,Black,
Government,,,
Individual,Male,Hispanic or Latino,
Individual,Male,White,
Individual,Male,Hispanic or Latino,
Government,,,
,,,
Individual,Male,Hispanic or Latino,Other Cutting Stabbing Inst.
Individual,Male,Middle Eastern,
Individual,Male,Black,
,,,
Individual,Male,White,
Society/Public,,,
Society/Public,,,
Individual,Female,Black,
